 Year Production
 1910 65
 1911 63
 1912 70
 1913 72
 1914 86
 1915 4
 1916 68
 1917 64
 1918 87
 1919 93
 1920 80
 1921 76
 1922 82
 1923 74
 1924 79
 1925 69
 1926 78
 1927 84
 1928 88
 1929 77
 1930 85
 1931 91
 1932 73
 1933 62
 1934 61
 1935 66
 1936 67
 1937 83
 1938 89
 1939 71
 1940 75
 1941 92
 1942 95
 1943 81
 1944 6
 1945 9
 1946 12
 1947 22
 1948 16
 1949 8
 1950 5
 1951 97
 1952 18
 1953 13
 1954 96
 1955 90
 1956 3
 1957 94
 1958 24
 1959 10
 1960 21
 1961 14
 1962 7
 1963 11
 1964 15
 1965 19
 1966 17
 1967 25
 1968 27
 1969 23
 1970 20
 1971 29
 1972 26
 1973 30
 1974 32
 1975 40
 1976 42
 1977 37
 1978 31
 1979 41
 1980 50
 1981 60
 1982 59
 1983 52
 1984 57
 1985 53
 1986 38
 1987 39
 1988 33
 1989 36
 1990 58
 1991 35
 1992 54
 1993 51
 1994 48
 1995 44
 1996 46
 1997 55
 1998 56
 1999 47
 2000 45
 2001 34
 2002 28
 2003 49
 2004 43

