male	white	age	foe	round2	round3	season2	cash	male1	white1	age1	foe1	win 	win1
1	1	20	1	0	0	0	1.2	1	1	32	0	1.2	0
1	1	40	1	0	1	0	7.7	0	1	31	1	0	0
0	0	35	1	1	0	0	3.2	0	1	24	1	0	0
1	1	26	0	0	0	0	1.2	1	0	40	0	0.6	0.6
0	1	40	0	0	1	0	5.7	1	1	26	1	0	5.7
0	1	28	1	1	0	0	3.7	0	1	23	0	3.7	0
0	1	26	0	0	0	0	1.2	0	1	48	0	0.6	0.6
1	0	30	1	0	1	0	7.2	1	1	27	0	7.2	0
0	1	30	0	1	0	0	3.7	1	1	22	1	0	3.7
0	1	25	0	0	0	0	0.7	1	1	61	0	0.35	0.35
1	1	24	1	1	0	0	2.2	1	1	32	1	0	0
0	1	31	1	0	1	0	5.2	0	0	41	0	5.2	0
0	1	55	1	0	0	0	0.7	1	0	25	0	0.7	0
1	1	37	0	0	1	0	5.7	1	1	19	1	0	5.7
0	1	24	1	1	0	0	1.7	0	1	36	1	0	0
0	0	31	1	0	0	0	1.2	1	1	37	0	1.2	0
1	1	24	1	0	1	0	9.2	0	1	49	1	0	0
0	1	27	1	1	0	0	2.7	1	1	22	1	0	0
1	1	22	1	0	0	0	0.7	0	0	21	1	0	0
1	1	40	0	0	1	0	4.2	1	1	23	1	0	4.2
1	1	26	0	1	0	0	3.2	1	1	27	1	0	3.2
0	1	27	0	0	1	0	5.2	1	0	26	1	0	5.2
0	1	40	0	0	0	0	1.2	0	1	24	0	0.6	0.6
1	1	22	1	1	0	0	2.7	1	0	31	0	2.7	0
0	1	31	1	0	1	0	5.7	0	1	31	0	5.7	0
1	1	20	1	0	0	0	0.7	0	1	30	0	0.7	0
1	0	39	0	1	0	0	1.2	0	1	35	0	0.6	0.6
0	0	30	0	0	0	0	3.2	1	1	36	1	0	3.2
0	1	25	0	0	1	0	6.2	1	1	29	0	3.1	3.1
1	0	44	0	1	0	0	5.2	0	1	24	0	2.6	2.6
0	1	43	1	1	0	0	3.2	1	1	39	1	0	0
0	1	31	1	0	0	0	1.2	1	1	30	1	0	0
1	1	30	0	0	1	0	8.2	1	1	46	0	4.1	4.1
0	0	25	0	0	1	0	3.7	1	1	24	1	0	3.7
0	1	29	0	0	0	0	1.2	0	0	40	1	0	1.2
0	1	44	1	0	0	0	1.2	0	1	26	0	1.2	0
1	1	37	1	0	1	0	8.7	1	1	29	1	0	0
0	1	24	0	1	0	0	4.2	1	0	24	0	2.1	2.1
0	1	18	0	0	0	0	0.7	1	0	38	0	0.35	0.35
1	1	34	0	0	1	0	16.4	1	1	26	1	0	16.4
0	1	34	0	0	0	0	0.2	0	1	29	1	0	0.2
0	1	33	0	1	0	0	8.2	1	1	19	0	4.1	4.1
1	1	29	0	0	1	0	2.2	0	1	22	1	0	2.2
0	1	42	1	0	0	0	1.2	1	0	35	1	0	0
0	1	25	0	0	0	0	1.2	1	1	26	0	0.6	0.6
1	1	32	1	0	1	0	6.7	1	1	40	0	6.7	0
0	0	29	1	0	0	0	3.2	0	1	49	0	3.2	0
1	1	28	1	1	0	1	5.5	0	0	23	1	0	0
0	1	22	0	0	0	1	0.5	1	1	37	0	0.25	0.25
1	1	22	0	1	0	1	2	0	0	32	1	0	2
0	1	24	0	0	1	0	7.2	1	1	37	1	0	7.2
1	1	30	1	0	1	0	2.2	1	0	27	1	0	0
0	1	42	0	1	0	0	1.2	0	1	29	0	0.6	0.6
1	0	41	0	0	0	0	0.7	0	1	31	1	0	0.7
0	1	20	1	1	0	0	3.7	0	1	36	0	3.7	0
1	1	31	0	0	1	0	8.7	1	1	31	0	4.35	4.35
0	1	33	0	0	0	0	2.2	0	1	28	0	1.1	1.1
1	1	37	0	0	1	0	9.2	1	1	27	1	0	9.2
0	0	28	0	0	0	0	0.7	1	1	20	1	0	0.7
1	1	22	1	0	0	0	0.7	1	1	34	1	0	0
0	1	18	0	0	0	0	4.7	0	1	25	1	0	4.7
1	1	57	0	0	1	0	9.2	0	0	44	1	0	9.2
0	1	23	0	1	0	0	6.2	1	0	28	1	0	6.2
1	1	27	1	0	0	0	1.7	0	1	50	0	1.7	0
0	1	32	1	0	0	0	1.7	1	1	38	0	1.7	0
0	1	33	1	0	1	1	6	1	1	21	1	0	0
1	1	22	1	1	0	1	0.5	0	1	22	1	0	0
0	0	22	1	0	1	1	3	1	1	40	0	3	0
0	0	19	1	0	0	1	0.2	0	0	21	0	0.2	0
1	1	48	1	0	0	1	2.5	1	1	22	1	0	0
1	1	25	0	0	1	1	7.5	0	1	31	1	0	7.5
0	1	23	1	1	0	1	4.5	1	1	25	1	0	0
1	1	23	0	0	1	1	10	0	1	31	1	0	10
0	1	18	1	0	0	1	1.5	1	0	37	0	1.5	0
1	1	21	0	1	0	0	7.7	0	1	33	0	3.85	3.85
0	1	27	0	0	0	0	0.2	0	1	50	1	0	0.2
0	1	23	1	1	0	0	3.2	1	1	30	1	0	0
0	1	47	0	0	1	0	3.7	1	1	41	0	1.85	1.85
1	0	21	1	0	0	0	1.2	0	1	20	1	0	0
0	0	28	0	0	1	0	5.2	1	1	29	0	2.6	2.6
0	1	27	1	1	0	0	2.7	0	1	43	0	2.7	0
1	1	23	0	0	1	0	6.2	1	1	33	0	3.1	3.1
0	1	19	1	0	0	0	0.2	1	0	39	0	0.2	0
0	1	32	1	1	0	0	2.7	0	0	25	1	0	0
1	1	30	0	0	0	0	0.7	1	1	28	1	0	0.7
0	1	39	0	0	1	0	7.7	1	1	30	0	3.85	3.85
0	1	22	1	1	0	0	3.7	0	0	33	0	3.7	0
1	1	20	1	1	0	0	5.7	1	1	41	0	5.7	0
0	1	41	0	0	0	0	0.2	0	1	35	0	0.1	0.1
1	1	25	1	0	1	0	7.7	1	1	28	0	7.7	0
0	1	20	1	0	0	0	1.2	0	1	27	1	0	0
1	1	42	0	0	1	0	4.7	0	0	20	1	0	4.7
0	1	29	0	1	0	0	2.2	1	1	40	0	1.1	1.1
1	1	29	1	0	0	0	1.2	0	1	43	1	0	0
