Tax Percent_driver Average_income Road Fuel
  9.00    52.5       3.571  1.976   541
  9.00    57.2       4.092  1.250   524
  9.00    58.0       3.865  1.586   561
  7.50    52.9       4.870  2.351   414
  8.00    54.4       4.399  0.431   410
 10.00    57.1       5.342  1.333   457
  8.00    45.1       5.319 11.868   344
  8.00    55.3       5.126  2.138   467
  8.00    52.9       4.447  8.577   464
  7.00    55.2       4.512  8.507   498
  8.00    53.0       4.391  5.939   580
  7.50    52.5       5.126 14.186   471
  7.00    57.4       4.817  6.930   525
  7.00    54.5       4.207  6.580   508
  7.00    60.8       4.332  8.159   566
  7.00    58.6       4.318 10.340   635
  7.00    57.2       4.206  8.508   603
  7.00    54.0       3.718  4.725   714
  7.00    72.4       4.716  5.915   865
  8.50    67.7       4.341  6.010   640
  7.00    66.3       4.593  7.834   649
  8.00    60.2       4.983  0.602   540
  9.00    51.1       4.897  2.449   464
  9.00    51.7       4.258  4.686   547
  8.50    55.1       4.574  2.619   460
  9.00    54.4       3.721  4.746   566
  8.00    54.8       3.448  5.399   577
  7.50    57.9       3.846  9.061   631
  8.00    56.3       4.188  5.975   574
  9.00    49.3       3.601  4.650   534
  7.00    51.8       3.640  6.905   571
  7.00    51.3       3.333  6.594   554
  8.00    57.8       3.063  6.524   577
  7.50    54.7       3.357  4.121   628
  8.00    48.7       3.528  3.495   487
  6.58    62.9       3.802  7.834   644
  5.00    56.6       4.045 17.782   640
  7.00    58.6       3.897  6.385   704
  8.50    66.3       3.635  3.274   648
  7.00    67.2       4.345  3.905   968
  7.00    62.6       4.449  4.639   587
  7.00    56.3       3.656  3.985   699
  7.00    60.3       4.300  3.635   632
  7.00    50.8       3.745  2.611   591
  6.00    67.2       5.215  2.302   782
  9.00    57.1       4.476  3.942   510
  7.00    62.3       4.296  4.083   610
  7.00    59.3       5.002  9.794   524
